Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
7935,CA-2020-166093,17-Aug-2020,24-Aug-2020,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,West,TEC-PH-10002564,Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,161.976,3,8.997,1,Online
7207,CA-2020-137414,02-Oct-2020,06-Oct-2020,Standard Class,CM-12115,Chad McGuire,Consumer,United States,San Francisco,California,West,TEC-MA-10002930,Technology,Machines,Ricoh - Ink Collector Unit for GX3000 Series Printers,380.16,11,32.3015,1,Online
6126,CA-2020-145772,03-Jun-2020,07-Jun-2020,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Los Angeles,California,West,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,100.96,2,5.382,1,Online
2099,CA-2020-124401,07-Sept-2020,12-Sept-2020,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Portland,Oregon,West,OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,130.68,3,2.355,1,COD
1219,US-2020-118087,09-Sept-2020,13-Sept-2020,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,292.696,3,64.674,1,COD
6092,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,TEC-AC-10002647,Technology,Accessories,"Logitech Wireless Boombox Speaker - portable - wireless, wired",237.8,2,95.76,1,Online
7959,CA-2020-131807,05-Oct-2020,10-Oct-2020,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,West,FUR-FU-10004666,Furniture,Furnishings,DAX Clear Channel Poster Frame,108.9,5,26.973,1,Online
7206,CA-2020-137414,02-Oct-2020,06-Oct-2020,Standard Class,CM-12115,Chad McGuire,Consumer,United States,San Francisco,California,West,FUR-FU-10001424,Furniture,Furnishings,Dax Clear Box Frame,139.46,2,5.9364,1,Cards
6104,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,170.97,3,20.3898,1,COD
3620,CA-2020-141929,04-Sept-2020,08-Sept-2020,Standard Class,RA-19285,Ralph Arnett,Consumer,United States,Los Angeles,California,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",235.85,5,65.355,1,COD
3058,CA-2020-131492,19-Oct-2020,24-Oct-2020,Second Class,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,West,OFF-LA-10001641,Office Supplies,Labels,Avery 518,133.5,10,15.12,1,COD
5190,US-2020-136679,14-Nov-2020,18-Nov-2020,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Pasadena,Texas,Central,TEC-AC-10004855,Technology,Accessories,V7 USB Numeric Keypad,209.952,6,-27.2922,1,COD
1708,CA-2020-123491,30-Oct-2020,05-Nov-2020,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,West,TEC-PH-10003505,Technology,Phones,Geemarc AmpliPOWER60,194.48,2,16.704,1,COD
9729,CA-2020-167395,02-Dec-2020,04-Dec-2020,First Class,KM-16720,Kunst Miller,Consumer,United States,Lowell,Massachusetts,East,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,134.36,2,0.1744,1,Online
7957,CA-2020-131807,05-Oct-2020,10-Oct-2020,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,West,OFF-FA-10002780,Office Supplies,Fasteners,Staples,107.9,5,6.854,1,Online
9007,CA-2020-107825,18-Nov-2020,18-Nov-2020,Same Day,NB-18655,Nona Balk,Corporate,United States,Milwaukee,Wisconsin,Central,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",161.76,1,10.5728,1,COD
6123,CA-2020-152660,04-Dec-2020,09-Dec-2020,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Chicago,Illinois,Central,OFF-ST-10000532,Office Supplies,Storage,Advantus Rolling Drawer Organizers,126.568,2,4.6176,1,COD
2965,CA-2020-137428,16-Dec-2020,21-Dec-2020,Second Class,AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,West,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,318.32,5,8.208,1,COD
976,US-2020-103247,05-Oct-2020,08-Oct-2020,Second Class,PO-19195,Phillina Ober,Home Office,United States,New York City,New York,East,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,182.792,3,25.5798,1,COD
1509,CA-2020-108294,10-Dec-2020,10-Dec-2020,Same Day,LS-16975,Lindsay Shagiari,Home Office,United States,Omaha,Nebraska,Central,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,301.5,3,15.525,1,Online
5458,CA-2020-130631,29-Dec-2020,02-Jan-2021,Standard Class,BS-11755,Bruce Stewart,Consumer,United States,Edmonds,Washington,West,FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,466.46,2,20.538,1,COD
7947,CA-2020-134194,25-Dec-2020,01-Jan-2021,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Dallas,Texas,Central,OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",339.168,3,-5.0688,1,Cards
954,CA-2020-136539,28-Dec-2020,01-Jan-2021,Standard Class,GH-14665,Greg Hansen,Consumer,United States,Round Rock,Texas,Central,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,362.168,2,2.7168,1,COD
8952,CA-2020-150910,22-Dec-2020,28-Dec-2020,Standard Class,JL-15130,Jack Lebron,Consumer,United States,Jackson,Tennessee,South,OFF-ST-10000918,Office Supplies,Storage,Crate-A-Files,395.16,3,1.962,1,Online
7944,CA-2020-134194,25-Dec-2020,01-Jan-2021,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Dallas,Texas,Central,OFF-SU-10000946,Office Supplies,Supplies,Staple remover,433.688,7,5.0274,1,Online
3618,CA-2020-141929,04-Sept-2020,08-Sept-2020,Standard Class,RA-19285,Ralph Arnett,Consumer,United States,Los Angeles,California,West,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,522.984,2,152.495,1,Cards
6369,US-2020-147998,19-May-2020,24-May-2020,Standard Class,SA-20830,Sue Ann Reed,Consumer,United States,San Jose,California,West,OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,172.12,5,49.92,1,COD
8871,CA-2020-101805,01-Dec-2020,06-Dec-2020,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Seattle,Washington,West,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,106.68,12,31.0992,1,Online
6320,CA-2020-161459,25-Nov-2020,29-Nov-2020,Second Class,EB-13750,Edward Becker,Corporate,United States,Laguna Niguel,California,West,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",170.08,6,15.336,1,Online
2075,CA-2020-122504,07-Nov-2020,12-Nov-2020,Second Class,DB-13270,Deborah Brumfield,Home Office,United States,Brentwood,California,West,TEC-PH-10002468,Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",786.544,7,66.6351,1,Online
9008,CA-2020-107825,18-Nov-2020,18-Nov-2020,Same Day,NB-18655,Nona Balk,Corporate,United States,Milwaukee,Wisconsin,Central,OFF-LA-10003720,Office Supplies,Labels,Avery 487,117.38,2,3.4686,1,COD
1710,CA-2020-123491,30-Oct-2020,05-Nov-2020,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,West,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",172.992,1,-0.8999,1,Online
5191,US-2020-136679,14-Nov-2020,18-Nov-2020,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Pasadena,Texas,Central,OFF-AR-10003582,Office Supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",159.04,2,4.504,1,Online
1216,US-2020-118087,09-Sept-2020,13-Sept-2020,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",105.672,1,1.5768,1,Online
7961,CA-2020-131807,05-Oct-2020,10-Oct-2020,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,West,TEC-PH-10000702,Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",120.992,1,2.6973,1,Cards
7763,CA-2020-156391,26-Sept-2020,28-Sept-2020,First Class,SL-20155,Sara Luxemburg,Home Office,United States,Salem,Oregon,West,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,88.224,1,0.556,1,Online
5792,CA-2020-140186,29-Sept-2020,02-Oct-2020,First Class,PG-18820,Patrick Gardner,Consumer,United States,Bakersfield,California,West,FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",187.784,1,0,1,COD
1214,US-2020-118087,09-Sept-2020,13-Sept-2020,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,94.036,2,-2.3276,1,COD
6098,CA-2020-100111,20-Sept-2020,26-Sept-2020,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",119.784,3,3.9771,1,Online
9082,CA-2020-166898,11-Sept-2020,13-Sept-2020,Second Class,KH-16630,Ken Heidel,Corporate,United States,Santa Ana,California,West,OFF-PA-10002262,Office Supplies,Paper,Xerox 192,115.44,3,9.3312,1,Online
9594,CA-2020-108931,14-Sept-2020,19-Sept-2020,Standard Class,HZ-14950,Henia Zydlo,Consumer,United States,New York City,New York,East,OFF-PA-10002741,Office Supplies,Paper,Xerox 1980,90.56,2,3.852,1,Online
4910,CA-2020-127306,14-Jan-2020,18-Jan-2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,South,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",136.336,3,6.6468,1,Cards
4145,CA-2020-112725,30-Jan-2020,06-Feb-2020,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,San Francisco,California,West,OFF-AR-10001227,Office Supplies,Art,Newell 338,131.82,3,2.3814,1,COD
3147,CA-2020-131828,11-Feb-2020,13-Feb-2020,Second Class,CS-11845,Cari Sayre,Corporate,United States,Seattle,Washington,West,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",126.776,3,7.7679,1,Cards
1190,CA-2020-117212,26-Feb-2020,28-Feb-2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,911.536,8,66.7152,1,COD
1189,CA-2020-117212,26-Feb-2020,28-Feb-2020,Second Class,BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,West,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,110.92,4,22.1184,1,Online
9993,CA-2020-121258,26-Feb-2020,03-Mar-2020,Standard Class,DB-13060,Dave Brooks,Consumer,United States,Costa Mesa,California,West,OFF-PA-10004041,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",152.6,4,13.32,1,COD
9252,CA-2020-155712,02-Mar-2020,08-Mar-2020,Standard Class,KD-16615,Ken Dana,Corporate,United States,Los Angeles,California,West,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,128.648,2,33.64,1,Online
5743,US-2020-147886,28-Mar-2020,31-Mar-2020,First Class,DH-13075,Dave Hallsten,Corporate,United States,Fairfield,California,West,OFF-PA-10003651,Office Supplies,Paper,Xerox 1968,139.72,4,12.8256,1,Online
9014,CA-2020-143084,18-Mar-2020,22-Mar-2020,Standard Class,BP-11050,Barry Pond,Corporate,United States,Los Angeles,California,West,OFF-AR-10002766,Office Supplies,Art,Prang Drawing Pencil Set,108.9,5,3.753,1,COD
8152,CA-2020-140151,23-Mar-2020,25-Mar-2020,First Class,RB-19360,Raymond Buch,Consumer,United States,Seattle,Washington,West,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,139.48,2,4.872,1,Cards
5742,US-2020-147886,28-Mar-2020,31-Mar-2020,First Class,DH-13075,Dave Hallsten,Corporate,United States,Fairfield,California,West,TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,555.72,2,53.272,1,Online
6859,CA-2020-128965,17-Apr-2020,22-Apr-2020,Standard Class,PS-18760,Pamela Stobb,Consumer,United States,Los Angeles,California,West,OFF-LA-10001404,Office Supplies,Labels,Avery 517,114.38,2,3.4686,1,COD
6861,CA-2020-128965,17-Apr-2020,22-Apr-2020,Standard Class,PS-18760,Pamela Stobb,Consumer,United States,Los Angeles,California,West,TEC-AC-10001383,Technology,Accessories,Logitech Wireless Touch Keyboard K400,290.89,11,46.7313,1,Online
7242,CA-2020-136651,23-Apr-2020,25-Apr-2020,Second Class,JF-15355,Jay Fein,Consumer,United States,Pasadena,California,West,OFF-BI-10003638,Office Supplies,Binders,GBC Durable Plastic Covers,113.88,6,30.186,1,COD
8592,CA-2020-101700,23-Apr-2020,26-Apr-2020,First Class,SO-20335,Sean O'Donnell,Consumer,United States,Greeley,Colorado,West,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,131.688,2,7.008,1,COD
5652,CA-2020-142342,17-Jul-2020,19-Jul-2020,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Apple Valley,California,West,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1222.165,5,210.735,1,Cards
4510,CA-2020-167003,23-May-2020,29-May-2020,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Los Angeles,California,West,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",220.288,3,-6.4233,1,Cards
485,CA-2020-140963,10-Jun-2020,13-Jun-2020,First Class,MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,West,OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,111.6,2,14.8,1,Online
8703,CA-2020-119284,15-Jun-2020,20-Jun-2020,Standard Class,TS-21205,Thomas Seio,Corporate,United States,Nashville,Tennessee,South,OFF-PA-10000312,Office Supplies,Paper,Xerox 1955,125.36,5,29.692,1,Online
4497,CA-2020-112753,18-Jun-2020,23-Jun-2020,Standard Class,CC-12670,Craig Carreira,Consumer,United States,Los Angeles,California,West,OFF-PA-10002036,Office Supplies,Paper,Xerox 1930,138.88,6,19.0512,1,COD
2502,CA-2020-131618,17-Jun-2020,20-Jun-2020,First Class,LS-17200,Luke Schmidt,Corporate,United States,Skokie,Illinois,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,131.304,4,-3.5712,1,COD
2574,CA-2020-145128,09-Jul-2020,14-Jul-2020,Standard Class,SM-20320,Sean Miller,Home Office,United States,Lafayette,Indiana,Central,FUR-FU-10000293,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,536.45,5,31.587,1,Online
2092,CA-2020-166142,15-Jul-2020,19-Jul-2020,Standard Class,MM-17260,Magdelene Morse,Consumer,United States,Wilmington,Delaware,East,FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,341.443,3,-48.7839,1,Online
7934,CA-2020-166093,17-Aug-2020,24-Aug-2020,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,West,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,115.36,2,11.68,1,Online
7845,US-2020-123834,21-Jul-2020,25-Jul-2020,Standard Class,GM-14500,Gene McClure,Consumer,United States,Pharr,Texas,Central,FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,148.404,4,-21.3264,1,Cards
2867,US-2020-103828,13-Aug-2020,13-Aug-2020,Same Day,JK-15370,Jay Kimmel,Consumer,United States,San Francisco,California,West,OFF-SU-10000946,Office Supplies,Supplies,Staple remover,149.92,4,9.2568,1,Online
7940,CA-2020-166093,17-Aug-2020,24-Aug-2020,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,264.056,8,77.3696,1,Cards
3338,US-2020-109253,21-Aug-2020,22-Aug-2020,First Class,PR-18880,Patrick Ryan,Consumer,United States,Oakland,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,590.728,3,28.4364,1,Online
3339,US-2020-109253,21-Aug-2020,22-Aug-2020,First Class,PR-18880,Patrick Ryan,Consumer,United States,Oakland,California,West,OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",154.144,9,42.4647,1,COD
3753,CA-2020-161956,27-Aug-2020,29-Aug-2020,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,West,OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,149.28,3,56.9772,1,Online
3748,CA-2020-161956,27-Aug-2020,29-Aug-2020,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,West,FUR-FU-10002937,Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",242.46,2,99.23,1,COD
975,US-2020-103247,05-Oct-2020,08-Oct-2020,Second Class,PO-19195,Phillina Ober,Home Office,United States,New York City,New York,East,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,198.93,7,3.2186,1,Online
9527,CA-2020-156958,05-Dec-2020,06-Dec-2020,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,West,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,109.176,3,-7.0146,1,COD
3751,CA-2020-161956,27-Aug-2020,29-Aug-2020,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,West,OFF-SU-10002503,Office Supplies,Supplies,Acme Preferred Stainless Steel Scissors,149.4,5,8.236,1,COD
7183,CA-2020-150609,30-Apr-2020,04-May-2020,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Los Angeles,California,West,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,116.24,5,7.553,1,Online
3736,CA-2020-168193,06-Mar-2020,11-Mar-2020,Second Class,RM-19750,Roland Murray,Consumer,United States,New York City,New York,East,FUR-FU-10002554,Furniture,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",153.97,3,16.5531,1,Online
9348,CA-2020-109085,17-Feb-2020,20-Feb-2020,First Class,CK-12325,Christine Kargatis,Home Office,United States,Troy,Ohio,East,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,938.43,5,-12.849,1,Online
1416,CA-2020-115994,28-Jan-2020,31-Jan-2020,Second Class,BT-11305,Beth Thompson,Home Office,United States,Costa Mesa,California,West,FUR-FU-10003976,Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",135.74,3,12.8316,1,Online
4913,CA-2020-127306,14-Jan-2020,18-Jan-2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,South,OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,122.97,5,-4.577,1,Online
4912,CA-2020-127306,14-Jan-2020,18-Jan-2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,South,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,129.984,2,6.999,1,Online
5885,CA-2019-136301,13-Mar-2019,15-Mar-2019,Second Class,EH-13765,Edward Hooks,Corporate,United States,San Francisco,California,West,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,4912.59,3,196.5036,0,Cards
5884,CA-2019-136301,13-Mar-2019,15-Mar-2019,Second Class,EH-13765,Edward Hooks,Corporate,United States,San Francisco,California,West,FUR-FU-10004712,Furniture,Furnishings,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",28.28,2,7.3528,0,COD
7194,CA-2019-110492,12-Feb-2019,14-Feb-2019,First Class,JS-15880,John Stevenson,Consumer,United States,Atlanta,Georgia,South,OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,1350.12,6,175.5156,0,Online
2366,US-2019-108637,13-Mar-2019,18-Mar-2019,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,South,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46,4,20.7,0,Online
2365,US-2019-108637,13-Mar-2019,18-Mar-2019,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,South,OFF-AP-10004540,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",160.32,2,44.8896,0,COD
1809,CA-2019-164938,11-Feb-2019,13-Feb-2019,First Class,PB-19210,Phillip Breyer,Corporate,United States,Tulsa,Oklahoma,Central,TEC-PH-10004897,Technology,Phones,Mediabridge Sport Armband iPhone 5s,69.93,7,0.6993,0,Online
7294,CA-2019-113656,23-Jan-2019,29-Jan-2019,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California,West,FUR-FU-10000719,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,0,Online
2364,US-2019-108637,13-Mar-2019,18-Mar-2019,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,South,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",127.88,2,40.9216,0,Cards
2348,CA-2019-159373,13-Mar-2019,18-Mar-2019,Standard Class,LT-17110,Liz Thompson,Consumer,United States,San Antonio,Texas,Central,FUR-TA-10004619,Furniture,Tables,Hon Non-Folding Utility Tables,557.585,5,0,0,Online
8843,US-2019-112396,09-Feb-2019,13-Feb-2019,Standard Class,JR-16210,Justin Ritter,Corporate,United States,San Francisco,California,West,TEC-AC-10004761,Technology,Accessories,Maxell 4.7GB DVD+RW 3/Pack,31.86,2,11.151,0,COD
2347,CA-2019-159373,13-Mar-2019,18-Mar-2019,Standard Class,LT-17110,Liz Thompson,Consumer,United States,San Antonio,Texas,Central,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,1.272,2,-2.1624,0,COD
2346,CA-2019-159373,13-Mar-2019,18-Mar-2019,Standard Class,LT-17110,Liz Thompson,Consumer,United States,San Antonio,Texas,Central,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",70.08,5,24.528,0,COD
8842,US-2019-112396,09-Feb-2019,13-Feb-2019,Standard Class,JR-16210,Justin Ritter,Corporate,United States,San Francisco,California,West,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,39.5868,0,COD
6238,US-2019-155180,22-Jan-2019,29-Jan-2019,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,East,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,0,Online
1027,CA-2019-126529,11-Jan-2019,13-Jan-2019,Second Class,DE-13255,Deanra Eno,Home Office,United States,Springfield,Ohio,East,OFF-PA-10003656,Office Supplies,Paper,Xerox 1935,63.312,3,20.5764,0,Cards
153,CA-2019-158834,13-Mar-2019,16-Mar-2019,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,15.2388,0,Cards
152,CA-2019-158834,13-Mar-2019,16-Mar-2019,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,17.766,0,Cards
8383,CA-2019-163048,08-Feb-2019,15-Feb-2019,Standard Class,MH-17440,Mark Haberlin,Corporate,United States,Houston,Texas,Central,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,241.5,4,0,0,COD
8480,US-2019-119270,12-Mar-2019,16-Mar-2019,Standard Class,SW-20245,Scot Wooten,Consumer,United States,Los Angeles,California,West,OFF-PA-10004022,Office Supplies,Paper,Hammermill Color Copier Paper (28Lb. and 96 Bright),19.98,2,8.991,0,Online
5960,CA-2019-127138,12-Mar-2019,15-Mar-2019,Second Class,DK-13225,Dean Katz,Corporate,United States,San Francisco,California,West,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,770.352,3,77.0352,0,Online
1828,CA-2019-109344,08-Feb-2019,11-Feb-2019,Second Class,CH-12070,Cathy Hwang,Home Office,United States,Raleigh,North Carolina,South,TEC-PH-10002624,Technology,Phones,Samsung Galaxy S4 Mini,1127.976,3,126.8973,0,COD
6230,CA-2019-148208,22-Jan-2019,27-Jan-2019,Standard Class,BT-11530,Bradley Talbott,Home Office,United States,Cleveland,Ohio,East,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,3,15.8631,0,Cards
5959,CA-2019-127138,12-Mar-2019,15-Mar-2019,Second Class,DK-13225,Dean Katz,Corporate,United States,San Francisco,California,West,OFF-EN-10004459,Office Supplies,Envelopes,Security-Tint Envelopes,30.56,4,14.9744,0,Cards
5958,CA-2019-127138,12-Mar-2019,15-Mar-2019,Second Class,DK-13225,Dean Katz,Corporate,United States,San Francisco,California,West,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,154.9,5,40.274,0,Cards
9115,CA-2019-135461,07-Feb-2019,10-Feb-2019,Second Class,EB-13975,Erica Bern,Corporate,United States,Los Angeles,California,West,TEC-PH-10004094,Technology,Phones,Motorola L703CM,623.96,5,38.9975,0,COD
5957,CA-2019-127138,12-Mar-2019,15-Mar-2019,Second Class,DK-13225,Dean Katz,Corporate,United States,San Francisco,California,West,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",676.55,5,6.7655,0,COD
3607,CA-2019-119683,12-Mar-2019,16-Mar-2019,Second Class,CK-12595,Clytie Kelty,Consumer,United States,New York City,New York,East,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,29.34,3,13.4964,0,COD
2696,CA-2019-161662,07-Feb-2019,09-Feb-2019,First Class,BE-11410,Bobby Elias,Consumer,United States,Lancaster,Ohio,East,OFF-PA-10003465,Office Supplies,Paper,Xerox 1912,30.352,2,10.6232,0,Online
